row,subj,time,trial,stimulus,guess
226,45,1476467153896,0,BOOBOBOO,BBBBOOOO
227,45,1476467193864,1,BBBBOOBO,OOOOBOOB
228,45,1476467240656,2,OOBOOBOB,BBBBOOOO
229,45,1476467270072,3,BOBOBOBB,BBOBBOBO
230,45,1476467303144,4,BBBOOBBO,BBOOOOOO
231,46,1476467164023,0,OOOBOBOB,OBBOOBBO
232,46,1476467191469,1,OBOOBBBB,OBBOOOBB
233,46,1476467218327,2,BOBBBOOB,OBBOOBBO
234,46,1476467240861,3,BOOOBBOB,BOBBOBBO
235,46,1476467255316,4,BOOOOBBB,OOBBOBBO
236,47,1476467212702,0,OOBOOOOB,OOOBOBOO
237,47,1476467237441,1,BOBOBOOB,OOBOOBOB
238,47,1476467300549,2,OBOOBOOO,OBOBOOBO
239,47,1476467350953,3,OBOBBBBO,BOBOBBBB
240,47,1476467366173,4,OBBOBOBB,OBOBBBBB
241,48,1476467273730,0,OOOOOOBB,OOBOOOOB
242,48,1476467303233,1,OBBBBOBB,OOOBBBBB
243,48,1476467349553,2,OBBBOOOB,OOOBBBOO
244,48,1476467375274,3,OBBOBOBO,OOOBOBOB
245,48,1476467397946,4,OBOBOBOO,OOBOBBOB
246,49,1476467306615,0,BOOOOOBO,OBBBOOOB
247,49,1476467336719,1,BBOOBOOB,BBOOBBBO
248,49,1476467359350,2,OBBOBBOB,OBOOOBOB
249,49,1476467382080,3,OOOBOBOO,OOBBOOBB
250,49,1476467403349,4,OOOOOOBB,OOBBOOBB
251,50,1476467349495,0,BBOOBBOB,OOBBBBBB
252,50,1476467373345,1,OBBOOOBO,BBBOOBBB
253,50,1476467395535,2,OOBBOBOO,BBBBBBBB
254,50,1476467414910,3,OOBOBOBO,BBBBBBBB
255,50,1476467433194,4,OBOBOBOO,BBBBOBOB
256,51,1476467346650,0,OOBBBBBB,OBBOBBOB
257,51,1476467372057,1,OBOBOOBB,OOOBOBBO
258,51,1476467391411,2,BOOOOBOB,OBOOOOOO
259,51,1476467412409,3,OBBOOBBB,OOOBOOOB
260,51,1476467432813,4,BBBBBOBB,BOBBBBBB
261,52,1476467476598,0,BOOOBBOO,BOOBOBBO
262,52,1476467496433,1,BBOOOOBB,OOOOBBBB
263,52,1476467521413,2,BOBOBBOB,OBBBBOOO
264,52,1476467540297,3,BBOOBBBO,BBBBBBOB
265,52,1476467556265,4,BBOOBOOB,OOOOBBOB
266,53,1476467581228,0,OBBBBOOB,OBOOOBOO
267,53,1476467596677,1,BOOBOBOO,OBBOOOBB
268,53,1476467609781,2,OBBOBBOO,OOBOBOOB
269,53,1476467619509,3,BOBBBBOO,BOOOBBOO
