binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=2h
-13.1908	"B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/"
-15.803	"B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-13.1787	"B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/B/RB,G/"
-17.1119	"B/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-15.3684	"BB,GB,GB,GB,GB,GB,GB,GB,GB,"
-16.7638	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-13.4947	"G,B,B,B,B,B,B,B,B,B"
-15.9905	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-13.2271	"G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/"
-16.0425	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-13.19	"G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/"
-13.19	"G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/"
-13.19	"G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/G/RB,G/"
-15.7861	"G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-13.2563	"GB,GB,GB,GB,GB,GB,GB,GB,GB,"
-16.0707	"GB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-15.098	"R,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-14.608	"R,B,B,B,B,B,B,B,B,"
-12.3682	"R,B,B,B,B,B,B,B,B,B"
-14.0098	"R,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-12.5592	"R,B/,R,B/,R,B/,R,B/,R,B/"
-14.1207	"R,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-12.2352	"R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-15.7265	"R,G,G,G,G,G,G,G,G,G"
-14.5063	"R,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.377	"R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G/"
-14.929	"R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-14.1165	"R,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-12.2407	"R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-15.4151	"R,GB,GB,GB,GB,GB,GB,GB,GB,"
-12.3356	"R,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-13.2885	"R,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-11.7249	"R,GB/,R,GB/,R,GB/,R,GB/,R,GB/"
-15.7502	"R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB/"
-13.5325	"R,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-11.7431	"R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-14.258	"R,RB,RB,RB,RB,RB,RB,RB,RB,B"
-14.484	"R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/"
-13.215	"R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/"
-16.1306	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-16.1876	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.1321	"R/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-13.19	"R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/"
-13.1949	"R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/"
-16.1498	"R/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-13.19	"R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/R/RB,G/"
-16.1321	"R/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-16.0359	"R/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-12.2846	"RB,B/,RB,B/,RB,B/,RB,B/,RB,B/"
-14.6517	"RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B/"
-11.6787	"RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-11.3682	"RB,G/,RB,G/,RB,G/,RB,G/,RB,G/"
-14.3325	"RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G/"
-13.8305	"RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//"
-11.678	"RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-14.3658	"RB,GB,GB,GB,GB,GB,GB,GB,G,G"
-12.3491	"RB,GB,GB,GB,GB,GB,GB,GB,GB,"
-15.951	"RB,GB,GB,GB,GB,GB,GB,GB,GB,B"
-11.6041	"RB,GB,GB,GB,GB,GB,GB,GB,GB,G"
-12.8353	"RB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-10.7402	"RB,GB/,RB,GB/,RB,GB/,RB,GB/,RB,GB/"
-13.5998	"RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/"
-10.5541	"RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-14.6988	"RB,GBB,GBB,GBB,GBB,GBB,GBB,GBB,GBB,GB"
-14.698	"RB,GRB,GRB,GRB,GRB,GRB,GRB,GRB,GRB,GB"
-12.3103	"RB,RB,RB,RB,RB,RB,RB,RB,RB,"
-12.283	"RB,RB,RB,RB,RB,RB,RB,RB,RB,B"
-15.0033	"RB,RB,RB,RB,RB,RB,RB,RB,RB,B/"
-12.3356	"RB,RB,RB,RB,RB,RB,RB,RB,RB,G"
-15.0033	"RB,RB,RB,RB,RB,RB,RB,RB,RB,G/"
-16.0707	"RB,RB,RB,RB,RB,RB,RB,RB,RB,RB"
# Global sample count:	26588589
# Elapsed time:	7201.04 seconds 
# Samples per second:	3692.32
binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ 
