binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-36.9626	",B/,B/,B/RB//B,B/RB//B,B/RB//,/RB,GBGBGB/,/RB,"
-31.7438	",B/,B//RB,GB/,/RB,GB/B,B/RB//B,B/RB//,/RB,"
-32.437	",B/,B//RB,GB/,/RB,GB/B,B/RB//B,B/RB//,/RB,GB"
-36.2695	",B/,B//RB,GB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,"
-36.9626	",B/,B//RB,GB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,GB"
-32.437	",B/,B//RB,GB/,/RB,GBGB/B,B/RB//B,B/RB//,/RB,"
-33.1301	",B/,B//RB,GB/,/RB,GBGB/B,B/RB//B,B/RB//,/RB,GB"
-36.9626	",B/,B//RB,GB/,/RB,GBGB/B,B/RBB/B,B/RBB/,/RB,"
-37.6558	",B/,B//RB,GB/,/RB,GBGB/B,B/RBB/B,B/RBB/,/RB,GB"
-31.7438	",B/,B//RB,GB/B,B/RB//,/RB,GB/B,B/RB//,/RB,"
-32.437	",B/,B//RB,GB/B,B/RB//,/RB,GB/B,B/RB//,/RB,GB"
-32.437	",B/,B//RB,GB/B,B/RB//,/RB,GBGB/B,B/RB//,/RB,"
-31.7438	",B/,B//RB,GB/B,B/RB//B,B/RB//,/RB,GB/,/RB,"
-32.437	",B/,B//RB,GB/B,B/RB//B,B/RB//,/RB,GB/,/RB,GB"
-32.437	",B/,B//RB,GB/B,B/RB//B,B/RB//,/RB,GBGB/,/RB,"
-36.2695	",B/,B//RB,GB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,"
-36.9626	",B/,B//RB,GB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GB"
-36.9626	",B/,B//RB,GB/B,B/RBB/,/RB,GBGB/B,B/RBB/,/RB,"
-36.2695	",B/,B//RB,GB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,"
-36.9626	",B/,B//RB,GB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GB"
-36.9626	",B/,B//RB,GB/B,B/RBB/B,B/RBB/,/RB,GBGB/,/RB,"
-32.437	",B/,B//RB,GBGB/,/RB,GB/B,B/RB//B,B/RB//,/RB,"
-36.9626	",B/,B//RB,GBGB/,/RB,GB/B,B/RBB/B,B/RBB/,/RB,"
-32.437	",B/,B//RB,GBGB/B,B/RB//,/RB,GB/B,B/RB//,/RB,"
-32.437	",B/,B//RB,GBGB/B,B/RB//B,B/RB//,/RB,GB/,/RB,"
-36.9626	",B/,B//RB,GBGB/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,"
-36.9626	",B/,B//RB,GBGB/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,"
-31.0616	",B/,B/B,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,"
-31.7547	",B/,B/B,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,GB"
-32.4478	",B/,B/B,B/RB//,/RB,GB/B,B/RB//B,B/RB//,/RB,GBGB"
-31.7547	",B/,B/B,B/RB//,/RB,GBGB/B,B/RB//B,B/RB//,/RB,"
-32.4478	",B/,B/B,B/RB//,/RB,GBGB/B,B/RB//B,B/RB//,/RB,GB"
-32.4478	",B/,B/B,B/RB//,/RB,GBGBGB/B,B/RB//B,B/RB//,/RB,"
-33.141	",B/,B/B,B/RB//,/RB,GBGBGBGB/B,B/RB//B,B/RB//,/RB,"
-31.0616	",B/,B/B,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,"
-31.7547	",B/,B/B,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,GB"
-32.4478	",B/,B/B,B/RB//B,B/RB//,/RB,GB/B,B/RB//,/RB,GBGB"
-31.7547	",B/,B/B,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,"
-32.4478	",B/,B/B,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,GB"
-33.141	",B/,B/B,B/RB//B,B/RB//,/RB,GBGB/B,B/RB//,/RB,GBGB"
