binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
-9.69114  "G/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-12.5381  "G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR"
-10.1912  "G/,/RRG/,/RRG/,/RRG/,/RRG/,/RRG/,/RRG/,/RRG/,/RRG/,/RR"
-12.5983  "G/,G/,G/,G/,G/,G/,G/,G/,G/,"
-14.6589  "G/,G/,G/,G/,G/,G/,G/,G/,G/,/"
-12.8133  "G/,G/,G/,G/,G/,G/,G/,G/,G/,/R"
-13.1694  "G/,G/,G/,G/,G/,G/,G/,G/,G/,/R/R/R/R/R/R/R/R/R"
-14.0257  "G/,G/,G/,G/,G/,G/,G/,G/,G/,B"
-13.2475  "G/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.0939  "G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.844 "G/,G/,G/,G/,G/,G/,G/,G/,G/,G//R"
-14.0842  "G/,G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-16.8254  "G/,G/,G/,G/,G/,G/,G/,G/,G/,G/RR"
-10.3938  "G/,G/,G/,G/,G/,G/,G/,G/,G/,R"
-14.1076  "G/,G/,G/,G/,G/,G/,G/,G/,G/,RR"
-15.0455  "G/,G/,G/,G/,G/,G/,G/,G/,G/,RRRRRRRR"
-13.8856  "G/,G/,G/,G/,G/,G/,G/,G/,G/,RRRRRRRRR"
-12.0157  "G/,G/,R,G/,R,R,G/,R,R,R"
-16.5286  "G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-14.9432  "G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,R"
-16.5286  "G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-14.8173  "G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,R"
-13.5058  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-15.009 "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,B"
-14.4874  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G"
-12.6509  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-14.9765  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-14.1346  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-15.4263  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRR"
-14.2013  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRR"
-10.8127  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-14.3948  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R/R/R/R/R/R/R/R/R/R"
-13.5679  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,RR"
-14.2552  "G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,RRRRRRRR"
-16.5444  "G/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-14.3545  "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R"
-15.8432  "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RB"
-15.8365  "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RG"
-11.351 "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-12.4535  "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,R"
-14.4511  "G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,RR"
-12.3439  "G/,R,/,R,/,R,/,R,/,R"
-12.3372  "G/,R,G/,R,G/,R,G/,R,G/,/R"
