binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=1h
-14.5741	"G/,/RR/,G/,/RR/,G/,/RR,G/,/RR,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR/,G/,/RR,G/,/RR/,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR/,G/,/RR/,G/,/RR,G/,/RR"
-14.5741	"G/,/RR/,G/,/RR/,G/,/RR/,G/,/RR/,G/,/RR"
-15.5857	"G/,/RRB,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRB,G/,/RR,G/,/RR,G/,/RRB,G/,/RR"
-15.5857	"G/,/RRB,G/,/RR,G/,/RRB,G/,/RR,G/,/RR"
-15.5857	"G/,/RRB,G/,/RR,G/,/RRB,G/,/RRB,G/,/RR"
-15.5857	"G/,/RRB,G/,/RRB,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRB,G/,/RRB,G/,/RR,G/,/RRB,G/,/RR"
-15.5857	"G/,/RRB,G/,/RRB,G/,/RRB,G/,/RR,G/,/RR"
-15.5857	"G/,/RRB,G/,/RRB,G/,/RRB,G/,/RRB,G/,/RR"
-15.5857	"G/,/RRG,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRG,G/,/RR,G/,/RR,G/,/RRG,G/,/RR"
-15.5857	"G/,/RRG,G/,/RR,G/,/RRG,G/,/RR,G/,/RR"
-15.5857	"G/,/RRG,G/,/RR,G/,/RRG,G/,/RRG,G/,/RR"
-15.5857	"G/,/RRG,G/,/RRG,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRG,G/,/RRG,G/,/RR,G/,/RRG,G/,/RR"
-15.5857	"G/,/RRG,G/,/RRG,G/,/RRG,G/,/RR,G/,/RR"
-15.5857	"G/,/RRG,G/,/RRG,G/,/RRG,G/,/RRG,G/,/RR"
-15.5857	"G/,/RRR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RR,G/,/RR,G/,/RRR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RR,G/,/RRR,G/,/RR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RR,G/,/RRR,G/,/RRR,G/,/RR"
-15.5857	"G/,/RRR,G/,/RRR,G/,/RR,G/,/RR,G/,/RR"
