binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=2h
-11.4423	"R/,G,R/,G,R/,G,R/,G,R/,/G"
-9.21872	"R/,G,R/,G,R/,G,R/,G,R/,G"
-12.9439	"R/,G,R/,G,R/,G,R/,G,R/,R"
-11.4907	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-14.9652	"R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G"
-14.4166	"R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/R/,G/G"
-12.7845	"R/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,G"
-14.6007	"R/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,GG"
-12.8858	"R/,R,R/,R,R/,R,R/,R,R/,G"
-14.4656	"R/,R/,R/,R/,R/,R/,R/,R/,,G"
-11.4599	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-13.7616	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-14.6179	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/////////"
-15.3085	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/B"
-11.8109	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G"
-13.2579	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G/G/G/G/G/G/G/G/G"
-15.2022	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/R"
-13.547	"R/,R/,R/,R/,R/,R/,R/,R/,R/,B"
-9.92824	"R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-12.7447	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-14.9965	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.4311	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R//G"
-16.4087	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/B"
-12.8903	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-16.3444	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-14.144	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-15.5572	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-15.2563	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-14.1975	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.559	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-10.763	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-13.9746	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G"
-14.271	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G/G/G/G/G/G/G/G/G"
-13.9645	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-16.025	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-16.0109	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B/G"
-11.6546	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.6093	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-14.8158	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/G/G"
-15.9906	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-15.9781	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R/G"
-14.0152	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-15.5572	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-14.7319	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G/G/G/G/G/G/G/G/G"
-14.9517	"R//,R//,R//,R//,R//,R//,R//,R//,R//,R//G"
-16.4101	"R//,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/G"
-14.5777	"R//,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-16.3526	"R//,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/G"
-17.1022	"R//B,R//B,R//B,R//B,R//B,R//B,R//B,R//B,R//B,R//G"
-15.6449	"R//G,//G,//G,//G,//G,//G,//G,//G,//G,//G"
-17.1242	"R//G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.1022	"R//G,B//G,B//G,B//G,B//G,B//G,B//G,B//G,B//G,B//G"
-16.3515	"R//G,G//G,G//G,G//G,G//G,G//G,G//G,G//G,G//G,G//G"
-13.6913	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,"
-15.2315	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//"
-13.0159	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-16.6973	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//R"
-16.0179	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R/G"
-14.6	"R//G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-16.8336	"R//G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-13.8303	"R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.5776	"R//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-16.6392	"R//R,R//R,R//R,R//R,R//R,R//R,R//R,R//R,R//R,R//G"
-17.106	"R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-16.4249	"R/B/,R/B/,R/B/,R/B/,R/B/,R/B/,R/B/,R/B/,R/B/,R/B/G"
-16.4249	"R/B/G,/B/G,/B/G,/B/G,/B/G,/B/G,/B/G,/B/G,/B/G,/B/G"
-16.4101	"R/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,//G"
-14.7455	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,"
-14.6	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R//G"
-13.0625	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-16.0109	"R/B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.3779	"R/G,/G,/G,/G,/G,/G,/G,/G,/,"
-14.7932	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-12.936	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.5572	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-17.106	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G"
-16.0341	"R/G,G,G,G,G,G,G,G,G,G"
-14.9008	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,"
-13.0903	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-15.5572	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-15.5983	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G"
-17.0233	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-16.0179	"R/G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-15.4473	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,G"
-13.17	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
